id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q106496152,Claude Joseph,male,,,,,Coronavirus Dispositions relatives aux fonctionnements des missions diplomatiques et sensibilisation des leaders religieux.jpg,Claude Joseph
Q107451258,Ariel Henry,male,1949-11-06,11,,,Ariel Henry conference.jpg,Ariel Henry
Q108426423,Duly Brutus,male,,,,,,
Q108426424,Lener Renauld,male,,,,,,
Q108426425,Pierrot Delienne,male,,,,,,
Q1111324,Alrich Nicolas,male,1956,9,,,,
Q113531338,Jean Victor Généus,male,,,,,,
Q15635856,Pierre-Richard Casimir,male,1970-02-19,11,,,Pierre-Richard Casimir (cropped).jpg,
Q18674649,Florence Duperval Guillaume,female,,,,,Florence Duperval Guillaume.JPG,Florence Duperval Guillaume
Q208834,René Préval,male,1943-01-17,11,2017-03-03,11,Rene Preval.jpg,René Préval
Q209617,Jean-Bertrand Aristide,male,1953-07-15,11,,,Jean-Bertrand Aristide.jpg,Jean-Bertrand Aristide
Q21294765,Jovenel Moïse,male,1968-06-26,11,2021-07-07,11,Kelly Craft poses a photo with Haitian President Moise (cropped).jpg,Jovenel Moïse
Q2143963,Yvon Neptune,male,1946-11-08,11,,,K. A. Paul with Neptune.JPG,Yvon Neptune
Q23430047,Enex Jean-Charles,male,1960-07-18,11,,,Enex Jean-Charles (29975765300).jpg,Enex Jean-Charles
Q24951046,Sophia Saint Rémy Martelly,female,1965-10-09,11,,,Sophia Martelly.jpg,Sophia Martelly
Q25389354,Ginette Michaud Privert,female,1956-03-14,11,,,Mme Ginette Michaud Privert haiti.png,Ginette Michaud Privert
Q25581833,Antonio Cheramy,male,1974-11-28,11,,,,
Q260400,Garry Conille,male,1966-02-26,11,,,Garry Conille 2012.jpg,Garry Conille
Q264711,Michèle Pierre-Louis,female,1947-10-05,11,,,Prime Minister Michele Pierre-Louis of Haiti - 2009 (cropped).JPG,Michèle Pierre-Louis
Q28836953,Jack Guy Lafontant,male,1961-04-04,11,,,Jack Guy Lafontant (cropped).jpg,Jack Guy Lafontant
Q3045967,Jean Marie Chérestal,male,1947-06-18,11,,,Prime Minister Jean Marie Chérestal.png,Jean Marie Chérestal
Q315427,Jean-Max Bellerive,male,1958,9,,,"Bellerive, Jean-Max.jpg",Jean-Max Bellerive
Q3166124,Jean-Henry Céant,male,1956-09-27,11,,,Jean-Henry Céant (cropped).jpg,Jean-Henry Céant
Q3456201,Rénald Clérismé,male,1937-10-07,11,2013-10-29,11,,Jean Rénald Clérismé
Q471075,Jacques-Édouard Alexis,male,1947-09-21,11,,,Jacques-Édouard Alexis.jpg,Jacques-Édouard Alexis
Q5415948,Evans Paul,male,1955-11-25,11,,,EvansPaul.jpg,Evans Paul
Q560895,Gérard Latortue,male,1934-06-19,11,,,Latortue.jpg,Gérard Latortue
Q57512,Michel Martelly,male,1961-02-12,11,,,"Michel Martelly on April 20, 2011.jpg",Michel Martelly
Q57854,Laurent Lamothe,male,1972-08-14,11,,,Laurent Lamothe in 2012.jpg,Laurent Lamothe
Q6207072,Jocelerme Privert,male,1953-02-01,11,,,Jocelerme Privert (30186877591).jpg,Jocelerme Privert
Q62596591,Jean-Michel Lapin,male,,7,,,Jean Michel Lapin (cropped).jpg,Jean-Michel Lapin
Q65512508,Martine Moïse,female,1974-06-06,11,,,Martine Moïse.jpg,Martine Moïse
Q87188650,Joseph Joute,male,1961-10-17,11,,,Joseph Jouthe (cropped).jpg,Joseph Jouthe
